outfall_structure,waterway_reach,open_timestamp,close_timestamp,river_segment_id
DS-N12,NBCR Upper (NSC Confluence),2013-04-18 03:52:00,2013-04-18 04:43:00,4
"DS-D22,24,25",DesPlaines Middle,2013-04-18 03:55:00,2013-04-18 10:52:00,14
"DS-D21,25",DesPlaines Middle,2013-04-18 03:57:00,2013-04-18 05:59:00,14
DS-M54,Chicago R,2013-04-18 04:01:00,2013-04-18 04:04:00,5
DS-M51,SB Chicago R,2013-04-18 04:21:00,2013-04-18 11:10:00,6
DS-M54,Chicago R,2013-04-18 04:22:00,2013-04-18 11:07:00,5
DS-D62,Salt Cr,2013-04-18 04:24:00,2013-04-18 10:58:00,16
DS-D12I,DesPlaines Middle,2013-04-18 04:26:00,2013-04-18 17:05:00,14
CRCW,,2013-04-18 04:30:00,2013-04-18 23:59:00,
DS-M70,NBCR Lower (NSC Confluence),2013-04-18 04:34:00,2013-04-18 07:25:00,3
DS-M45,SB Chicago R,2013-04-18 04:48:00,2013-04-18 07:12:00,6
95TH ST PS (CDS-34),Cal R,2013-04-18 04:50:00,2013-04-18 23:59:00,17
"DS-D44,45",DesPlaines Lower,2013-04-18 05:13:00,2013-04-18 07:20:00,15
CDS-23,Grand Cal R,2013-04-18 05:32:00,2013-04-18 11:24:00,18
Obrien,,2013-04-18 06:15:00,2013-04-18 23:59:00,
DS-M104E,NSC Upper (NSWRP),2013-04-18 06:31:00,2013-04-18 07:13:00,1
DS-M104E,NSC Upper (NSWRP),2013-04-18 07:25:00,2013-04-18 07:32:00,1
"DS-D39,42,46",Salt Cr,2013-04-18 07:26:00,2013-04-18 09:47:00,16
DS-D28,DesPlaines Middle,2013-04-18 07:28:00,2013-04-18 10:28:00,14
DS-D20I,DesPlaines Middle,2013-04-18 07:29:00,2013-04-18 08:38:00,14
"DS-D21,25",DesPlaines Middle,2013-04-18 07:33:00,2013-04-18 07:50:00,14
DS-N03,NBCR Upper (NSC Confluence),2013-04-18 07:37:00,2013-04-18 08:51:00,4
DS-M70,NBCR Lower (NSC Confluence),2013-04-18 07:38:00,2013-04-18 11:18:00,3
DS-M104E,NSC Upper (NSWRP),2013-04-18 07:38:00,2013-04-18 10:35:00,1
TG-M94,NSC Lower (NSWRP),2013-04-18 07:41:00,2013-04-18 08:31:00,2
DS-M45,SB Chicago R,2013-04-18 08:00:00,2013-04-18 09:15:00,6
DS-M45,SB Chicago R,2013-04-18 09:21:00,2013-04-18 09:51:00,6
DS-M45,SB Chicago R,2013-04-18 10:07:00,2013-04-18 10:36:00,6
UDP-DS1 (K1),Weller Cr,2013-04-18 11:01:00,2013-04-19 00:00:00,12
UDP-DS1 (K2-1&K2-2),Weller Cr,2013-04-18 11:03:00,2013-04-19 00:00:00,12
UDP-DS3 (K14),Weller Cr,2013-04-18 11:09:00,2013-04-19 00:00:00,12
UDP-DS3 (K11),Weller Cr,2013-04-18 11:12:00,2013-04-19 00:00:00,12
UDP-DS6 (K22),Weller Cr,2013-04-18 11:18:00,2013-04-19 00:00:00,12
TG-I28 & I29,SB Chicago R,2013-04-18 11:21:00,2013-04-18 12:38:00,6
TG-I32,SB Chicago R,2013-04-18 11:21:00,2013-04-18 12:37:00,6
